origin_airport;destination_airport_icao;destination_airport_iata;destination_airport_name;destination_airport_shortName;destination_airport_municipalityName;destination_airport_location;destination_airport_countryCode;daily_flights
EGGP;LEMG;AGP;Málaga, Málaga;;Málaga;{'lat': 36.6749, 'lon': -4.49911};ES;1.0
EGGP;LPFR;FAO;Faro, Faro;;Faro;{'lat': 37.0144, 'lon': -7.965909};PT;0.57
EGGP;LEPA;PMI;Palma De Mallorca, Palma De Mallorca;;Palma De Mallorca;{'lat': 39.5517, 'lon': 2.73881};ES;0.43
EGGP;LTAI;AYT;Antalya, Antalya;;Antalya;{'lat': 36.8987, 'lon': 30.8005};TR;0.14
EGGP;LOWS;SZG;Salzburg, Salzburg;;Salzburg;{'lat': 47.7933, 'lon': 13.0043};AT;0.14
EGGW;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;7.86
EGGW;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;5.57
EGGW;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;3.43
EGGW;LLBG;TLV;Ben Gurion, Tel Aviv Yafo;Ben Gurion;Tel Aviv Yafo;{'lat': 32.0114, 'lon': 34.8867};IL;3.29
EGGW;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;;{'lat': 55.95, 'lon': -3.372499};GB;3.0
EGGW;LEMG;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;3.0
EGGW;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;2.96
EGGW;EPKK;KRK;John Paul II   Kraków-Balice, Kraków;John Paul II   -Balice;Kraków;{'lat': 50.0777, 'lon': 19.7848};PL;2.86
EGGW;LPPT;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;2.86
EGGW;EGPF;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;2.14
EGGW;BIKF;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;2.14
EGGW;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;2.0
EGGW;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;2.0
EGGW;LEBL;BCN;Barcelona, Barcelona;Barcelona;;{'lat': 41.2971, 'lon': 2.078459};ES;1.86
EGGW;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;1.86
EGGW;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;1.71
EGGW;LPFR;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;1.71
EGGW;LCLK;LCA;Larnaca, Larnarca;Larnaca;Larnarca;{'lat': 34.8751, 'lon': 33.6249};CY;1.57
EGGW;EGJJ;JER;Jersey, St Helier;Jersey;St Helier;{'lat': 49.2079, 'lon': -2.195509};JE;1.43
EGGW;LFLL;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;1.29
EGGW;EGPD;ABZ;Aberdeen Dyce, Aberdeen;Dyce;Aberdeen;{'lat': 57.2019, 'lon': -2.197779};GB;1.14
EGGW;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;1.14
EGGW;EGPE;INV;Inverness, Inverness;Inverness;;{'lat': 57.5425, 'lon': -4.0475};GB;1.14
EGGW;LPPR;OPO;Francisco de Sá Carneiro, Porto;Francisco de Sá Carneiro;Porto;{'lat': 41.2481, 'lon': -8.681389};PT;1.14
EGGW;LTAI;AYT;Antalya, Antalya;Antalya;;{'lat': 36.8987, 'lon': 30.8005};TR;1.0
EGGW;LIRN;NAP;Naples, Nápoli;Naples;Nápoli;{'lat': 40.886, 'lon': 14.2908};IT;1.0
EGGW;LFLS;GNB;Grenoble-Isère, Grenoble/Saint-Geoirs;Grenoble-Isère;Grenoble/Saint-Geoirs;{'lat': 45.3629, 'lon': 5.32937};FR;0.86
EGGW;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;0.71
EGGW;HEGN;HRG;Hurghada, Hurghada;Hurghada;;{'lat': 27.1783, 'lon': 33.7994};EG;0.71
EGGW;LEMD;MAD;Adolfo Suárez Madrid–Barajas, Madrid;Adolfo Suárez –Barajas;Madrid;{'lat': 40.4936, 'lon': -3.56676};ES;0.71
EGGW;HESH;SSH;Sharm el Sheikh, Sharm el Sheikh;Sharm el Sheikh;;{'lat': 27.9773, 'lon': 34.395};EG;0.71
EGGW;LSZH;ZRH;Kloten, Zurich;Kloten;Zurich;{'lat': 47.4647, 'lon': 8.549169};CH;0.71
EGGW;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;0.57
EGGW;LFMN;NCE;Nice-Côte d'Azur, Nice;Côte d'Azur;Nice;{'lat': 43.6584, 'lon': 7.215869};FR;0.57
EGGW;LTBS;DLM;Dalaman, Dalaman;Dalaman;;{'lat': 36.7131, 'lon': 28.7925};TR;0.43
EGGW;LOWI;INN;Innsbruck, Innsbruck;Innsbruck;;{'lat': 47.2602, 'lon': 11.343999};AT;0.43
EGGW;GMMX;RAK;Menara, Marrakech;Menara;Marrakech;{'lat': 31.6069, 'lon': -8.036299};MA;0.43
EGGW;LEPA;PMI;Palma De Mallorca, Palma De Mallorca;Palma De Mallorca;;{'lat': 39.5517, 'lon': 2.73881};ES;0.43
EGGW;LIMF;TRN;Turin, Torino;Turin;Torino;{'lat': 45.2008, 'lon': 7.64963};IT;0.43
EGGW;GMAD;AGA;Al Massira, Agadir;Al Massira;Agadir;{'lat': 30.325, 'lon': -9.413069};MA;0.29
EGGW;LICC;CTA;Catania-Fontanarossa, Catania;Fontanarossa;Catania;{'lat': 37.4668, 'lon': 15.066399};IT;0.29
EGGW;LICJ;PMO;Falcone–Borsellino, Palermo;Falcone–Borsellino;Palermo;{'lat': 38.176, 'lon': 13.090999};IT;0.29
EGGW;LCPH;PFO;Paphos, Paphos;Paphos;;{'lat': 34.718, 'lon': 32.4857};CY;0.29
EGGW;LOWS;SZG;Salzburg, Salzburg;Salzburg;;{'lat': 47.7933, 'lon': 13.0043};AT;0.29
EGHH;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;1.0
EGHI;GVA;Geneva Cointrin, Geneva;Cointrin;;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;0.86
EGKK;LEBL;BCN;Barcelona, Barcelona;;Barcelona;{'lat': 41.2971, 'lon': 2.078459};ES;11.0
EGKK;LEMG;AGP;Málaga, Málaga;;Málaga;{'lat': 36.6749, 'lon': -4.49911};ES;5.71
EGKK;EGAA;BFS;Belfast, Belfast;;Belfast;{'lat': 54.6575, 'lon': -6.215829};GB;5.14
EGKK;EGPH;EDI;Edinburgh, Edinburgh;;Edinburgh;{'lat': 55.95, 'lon': -3.372499};GB;4.43
EGKK;LPFR;FAO;Faro, Faro;;Faro;{'lat': 37.0144, 'lon': -7.965909};PT;4.14
EGKK;LEAL;ALC;Alicante, Alicante;;Alicante;{'lat': 38.2822, 'lon': -0.558156};ES;4.01
EGKK;LEBB;BIO;Bilbao, Bilbao;;Bilbao;{'lat': 43.3011, 'lon': -2.910609};ES;3.29
EGKK;EGPF;GLA;Glasgow, Glasgow;;Glasgow;{'lat': 55.8719, 'lon': -4.43306};GB;3.14
EGKK;LOWI;INN;Innsbruck, Innsbruck;;Innsbruck;{'lat': 47.2602, 'lon': 11.343999};AT;3.11
EGKK;LEPA;PMI;Palma De Mallorca, Palma De Mallorca;;Palma De Mallorca;{'lat': 39.5517, 'lon': 2.73881};ES;3.0
EGKK;LEVC;VLC;Valencia, Valencia;;Valencia;{'lat': 39.4893, 'lon': -0.481624};ES;2.86
EGKK;LOWS;SZG;Salzburg, Salzburg;;Salzburg;{'lat': 47.7933, 'lon': 13.0043};AT;2.44
EGKK;EGPE;INV;Inverness, Inverness;;Inverness;{'lat': 57.5425, 'lon': -4.0475};GB;2.43
EGKK;EDDM;MUC;Munich, Munich;;Munich;{'lat': 48.3538, 'lon': 11.7861};DE;2.29
EGKK;LBSF;SOF;Sofia, Sofia;;Sofia;{'lat': 42.696693, 'lon': 23.411436};BG;1.65
EGKK;LFBO;TLS;Toulouse-Blagnac, Toulouse-Blagnac;;Toulouse-Blagnac;{'lat': 43.6291, 'lon': 1.363819};FR;1.47
EGKK;LTAI;AYT;Antalya, Antalya;;Antalya;{'lat': 36.8987, 'lon': 30.8005};TR;1.43
EGKK;LIRP;PSA;Pisa, Pisa;;Pisa;{'lat': 43.6839, 'lon': 10.3927};IT;1.29
EGKK;HEGN;HRG;Hurghada, Hurghada;;Hurghada;{'lat': 27.1783, 'lon': 33.7994};EG;1.21
EGKK;LCPH;PFO;Paphos, Paphos;;Paphos;{'lat': 34.718, 'lon': 32.4857};CY;1.14
EGKK;HESH;SSH;Sharm el Sheikh, Sharm el Sheikh;;Sharm el Sheikh;{'lat': 27.9773, 'lon': 34.395};EG;1.13
EGKK;LXGB;GIB;Gibraltar, Gibraltar;;Gibraltar;{'lat': 36.1512, 'lon': -5.349659};GI;1.0
EGKK;LEAM;LEI;Almería, Almería;;Almería;{'lat': 36.8439, 'lon': -2.3701};ES;0.71
EGKK;EDDH;HAM;Hamburg, Hamburg;;Hamburg;{'lat': 53.6304, 'lon': 9.988229};DE;0.71
EGKK;LTBS;DLM;Dalaman, Dalaman;;Dalaman;{'lat': 36.7131, 'lon': 28.7925};TR;0.31
EGKK;EFRO;RVN;Rovaniemi, Rovaniemi;;Rovaniemi;{'lat': 66.5648, 'lon': 25.8304};FI;0.29
EGKK;EDNY;FDH;Friedrichshafen, Friedrichshafen;;Friedrichshafen;{'lat': 47.6713, 'lon': 9.511489};DE;0.14
EGNM;EGAA;BFS;Belfast, Belfast;;Belfast;{'lat': 54.6575, 'lon': -6.215829};GB;0.43
EGNS;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;2.86
EGNS;EGCC;MAN;Manchester, Manchester;Manchester;;{'lat': 53.3537, 'lon': -2.27495};GB;2.67
EGNS;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;1.43
EGNS;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;0.43
EGNS;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;0.43
EGPD;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;2.0
EGPD;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;1.14
EGPD;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;0.14
EGPE;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;2.86
EGPE;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;1.57
EGPE;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;0.71
EGPF;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;4.29
EGPF;EGAC;BHD;George Best Belfast City, Belfast;George Best  City;Belfast;{'lat': 54.6181, 'lon': -5.872499};GB;3.0
EGPF;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;3.0
EGPF;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;3.0
EGPF;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;2.71
EGPF;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;2.14
EGPF;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;1.87
EGPF;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;1.71
EGPF;EGSS;STN;London Stansted, London;Stansted;London;{'lat': 51.885, 'lon': 0.234999};GB;1.53
EGPF;EGBB;BHX;Birmingham, Birmingham;Birmingham;;{'lat': 52.4539, 'lon': -1.748029};GB;1.43
EGPF;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;1.14
EGPF;LEMG;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;1.0
EGPF;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;0.86
EGPF;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;0.71
EGPF;LPFR;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;0.43
EGPF;GMAD;AGA;Al Massira, Agadir;Al Massira;Agadir;{'lat': 30.325, 'lon': -9.413069};MA;0.29
EGPF;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;0.29
EGPF;EGJJ;JER;Jersey, St Helier;Jersey;St Helier;{'lat': 49.2079, 'lon': -2.195509};JE;0.14
EGPH;EGSS;STN;London Stansted, London;Stansted;London;{'lat': 51.885, 'lon': 0.234999};GB;5.63
EGPH;EHAM;AMS;Amsterdam Schiphol, Amsterdam;Schiphol;Amsterdam;{'lat': 52.3086, 'lon': 4.763889};NL;5.43
EGPH;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;4.29
EGPH;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;4.08
EGPH;LFPG;CDG;Charles de Gaulle, Paris;Charles de Gaulle;Paris;{'lat': 49.0128, 'lon': 2.549999};FR;3.89
EGPH;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;3.31
EGPH;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;3.0
EGPH;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;2.57
EGPH;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;2.29
EGPH;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;1.71
EGPH;EGBB;BHX;Birmingham, Birmingham;Birmingham;;{'lat': 52.4539, 'lon': -1.748029};GB;1.71
EGPH;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;1.43
EGPH;LEMD;MAD;Adolfo Suárez Madrid–Barajas, Madrid;Adolfo Suárez –Barajas;Madrid;{'lat': 40.4936, 'lon': -3.56676};ES;1.29
EGPH;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;1.15
EGPH;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;1.14
EGPH;EKCH;CPH;Copenhagen Kastrup, Copenhagen;Kastrup;Copenhagen;{'lat': 55.6179, 'lon': 12.656};DK;1.14
EGPH;EPKK;KRK;John Paul II   Kraków-Balice, Kraków;John Paul II   -Balice;Kraków;{'lat': 50.0777, 'lon': 19.7848};PL;1.14
EGPH;LPPT;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;0.86
EGPH;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;0.71
EGPH;LFSB;BSL;Euro Basel-Mulhouse-Freiburg, Bâle/Mulhouse;Euro Basel-Mulhouse-Freiburg;Bâle/Mulhouse;{'lat': 47.5896, 'lon': 7.52991};FR;0.57
EGPH;EDDH;HAM;Hamburg, Hamburg;Hamburg;;{'lat': 53.6304, 'lon': 9.988229};DE;0.57
EGPH;BIKF;KEF;Keflavik, Reykjavik;Keflavik;Reykjavik;{'lat': 63.985, 'lon': -22.6056};IS;0.57
EGPH;LFLS;GNB;Grenoble-Isère, Grenoble/Saint-Geoirs;Grenoble-Isère;Grenoble/Saint-Geoirs;{'lat': 45.3629, 'lon': 5.32937};FR;0.45
EGPH;EDDM;MUC;Munich, Munich;Munich;;{'lat': 48.3538, 'lon': 11.7861};DE;0.29
EGPH;LIRN;NAP;Naples, Nápoli;Naples;Nápoli;{'lat': 40.886, 'lon': 14.2908};IT;0.29
EGPH;LCPH;PFO;Paphos, Paphos;Paphos;;{'lat': 34.718, 'lon': 32.4857};CY;0.29
EGPH;LFLL;LYS;Lyon Saint-Exupéry, Lyon;Saint-Exupéry;Lyon;{'lat': 45.7264, 'lon': 5.090829};FR;0.14
EGSS;EGPH;EDI;Edinburgh, Edinburgh;;Edinburgh;{'lat': 55.95, 'lon': -3.372499};GB;6.14
EGSS;EGAA;BFS;Belfast, Belfast;;Belfast;{'lat': 54.6575, 'lon': -6.215829};GB;2.15
EGSS;EGPF;GLA;Glasgow, Glasgow;;Glasgow;{'lat': 55.8719, 'lon': -4.43306};GB;1.43
EHAM;EKCH;CPH;Copenhagen Kastrup, Copenhagen;Kastrup;Copenhagen;{'lat': 55.6179, 'lon': 12.656};DK;12.61
EHAM;EGKK;LGW;London Gatwick, London;Gatwick;London;{'lat': 51.1481, 'lon': -0.190277};GB;8.0
EHAM;EDDB;BER;Berlin Brandenburg, Berlin;Brandenburg;Berlin;{'lat': 52.35139, 'lon': 13.493889};DE;7.86
EHAM;EGCC;MAN;Manchester, Manchester;Manchester;;{'lat': 53.3537, 'lon': -2.27495};GB;7.86
EHAM;LIRF;FCO;Leonardo da Vinci–Fiumicino, Rome;Leonardo da Vinci–Fiumicino;Rome;{'lat': 41.8045, 'lon': 12.2508};IT;7.85
EHAM;LPPT;LIS;Lisbon Portela, Lisbon;Portela;Lisbon;{'lat': 38.7813, 'lon': -9.135919};PT;7.43
EHAM;LSGG;GVA;Geneva Cointrin, Geneva;Cointrin;Geneva;{'lat': 46.2381, 'lon': 6.10895};CH;7.14
EHAM;LIML;LIN;Linate, Milan;Linate;Milan;{'lat': 45.4451, 'lon': 9.27674};IT;6.34
EHAM;EGGW;LTN;London Luton, London;Luton;London;{'lat': 51.8747, 'lon': -0.368333};GB;5.57
EHAM;EGPH;EDI;Edinburgh, Edinburgh;Edinburgh;;{'lat': 55.95, 'lon': -3.372499};GB;5.44
EHAM;LEMG;AGP;Málaga, Málaga;Málaga;;{'lat': 36.6749, 'lon': -4.49911};ES;4.86
EHAM;EGBB;BHX;Birmingham, Birmingham;Birmingham;;{'lat': 52.4539, 'lon': -1.748029};GB;4.57
EHAM;EGGD;BRS;Bristol, Bristol;Bristol;;{'lat': 51.3827, 'lon': -2.719089};GB;4.57
EHAM;LKPR;PRG;Ruzyn, Prague;Ruzyn;Prague;{'lat': 50.1008, 'lon': 14.26};CZ;4.57
EHAM;EGPF;GLA;Glasgow, Glasgow;Glasgow;;{'lat': 55.8719, 'lon': -4.43306};GB;4.29
EHAM;LIMC;MXP;Malpensa, Milan;Malpensa;Milan;{'lat': 45.6306, 'lon': 8.72811};IT;4.29
EHAM;LLBG;TLV;Ben Gurion, Tel Aviv Yafo;Ben Gurion;Tel Aviv Yafo;{'lat': 32.0114, 'lon': 34.8867};IL;4.29
EHAM;LIPZ;VCE;Venice Marco Polo, Venice;Marco Polo;Venice;{'lat': 45.5053, 'lon': 12.3519};IT;4.14
EHAM;LFSB;BSL;Euro Basel-Mulhouse-Freiburg, Bâle/Mulhouse;Euro Basel-Mulhouse-Freiburg;Bâle/Mulhouse;{'lat': 47.5896, 'lon': 7.52991};FR;4.0
EHAM;LEAL;ALC;Alicante, Alicante;Alicante;;{'lat': 38.2822, 'lon': -0.558156};ES;3.71
EHAM;LFMN;NCE;Nice-Côte d'Azur, Nice;Côte d'Azur;Nice;{'lat': 43.6584, 'lon': 7.215869};FR;3.29
EHAM;GCLP;LPA;Gran Canaria, Gran Canaria Island;Gran Canaria;Gran Canaria Island;{'lat': 27.9319, 'lon': -15.386599};ES;3.0
EHAM;LOWI;INN;Innsbruck, Innsbruck;Innsbruck;;{'lat': 47.2602, 'lon': 11.343999};AT;2.43
EHAM;GCTS;TFS;Tenerife South, Tenerife Island;Tenerife South;Tenerife Island;{'lat': 28.0445, 'lon': -16.5725};ES;2.43
EHAM;LIRN;NAP;Naples, Nápoli;Naples;Nápoli;{'lat': 40.886, 'lon': 14.2908};IT;2.14
EHAM;EGSS;STN;London Stansted, London;Stansted;London;{'lat': 51.885, 'lon': 0.234999};GB;1.86
EHAM;LPFR;FAO;Faro, Faro;Faro;;{'lat': 37.0144, 'lon': -7.965909};PT;1.71
EHAM;HEGN;HRG;Hurghada, Hurghada;Hurghada;;{'lat': 27.1783, 'lon': 33.7994};EG;1.57
EHAM;LOWS;SZG;Salzburg, Salzburg;Salzburg;;{'lat': 47.7933, 'lon': 13.0043};AT;1.57
EHAM;GCRR;ACE;Lanzarote, Lanzarote Island;Lanzarote;Lanzarote Island;{'lat': 28.9455, 'lon': -13.605199};ES;1.43
EHAM;GMMX;RAK;Menara, Marrakech;Menara;Marrakech;{'lat': 31.6069, 'lon': -8.036299};MA;1.14
EHAM;GCFV;FUE;Fuerteventura, Fuerteventura Island;Fuerteventura;Fuerteventura Island;{'lat': 28.4527, 'lon': -13.8638};ES;1.0
EHAM;EGGP;LPL;Liverpool John Lennon, Liverpool;John Lennon;Liverpool;{'lat': 53.3336, 'lon': -2.84972};GB;1.0
EHAM;EGAA;BFS;Belfast, Belfast;Belfast;;{'lat': 54.6575, 'lon': -6.215829};GB;0.71
